,fromTaz,toTaz,route_edges,start_edge,last_edge
0,taz_0,taz_60,509747331 8923686,509747331,8923686
1,taz_64,taz_1,8927009#0 509747213 394165857 509747233-AddedOnRampEdge 509747233,8927009#0,509747233
2,taz_63,taz_64,8925009 456092817#0 456092814 395318356 394165856 8927801#0,8925009,8927801#0
3,taz_60,taz_61,517256137 8927265 509747343 867204830-AddedOnRampEdge 867204830 867204830-AddedOffRampEdge 8927783,517256137,8927783
4,taz_63,taz_1,8925009 456092817#0 456092814 395318356 861059531 509747233-AddedOnRampEdge 509747233,8925009,509747233
5,taz_0,taz_61,509747331 687721986 509747324-AddedOnRampEdge 509747324 867204830-AddedOnRampEdge 867204830 867204830-AddedOffRampEdge 8927783,509747331,8927783
6,taz_61,taz_62,517294012 8925983 509747283 479773097-AddedOnRampEdge 479773097 479773096 479773096-AddedOffRampEdge 11531386 416220210#0,517294012,416220210#0
7,taz_62,taz_63,8925900#0 395358019 509747272 479773094 479773095 479773095-AddedOffRampEdge 417524818 394170678 394170681#0,8925900#0,394170681#0
8,taz_62,taz_64,8925900#0 395358019 509747272 479773094 479773095 479773095-AddedOffRampEdge 708314651 617259148-AddedOnRampEdge 617259148 395318356 394165856 8927801#0,8925900#0,8927801#0
9,taz_62,taz_1,8925900#0 395358019 509747272 479773094 479773095 479773095-AddedOffRampEdge 708314651 617259148-AddedOnRampEdge 617259148 395318356 861059531 509747233-AddedOnRampEdge 509747233,8925900#0,509747233
10,taz_60,taz_62,517256137 8927265 509747343 867204830-AddedOnRampEdge 867204830 867204830-AddedOffRampEdge 867204829 509747295 509747288 479773097-AddedOnRampEdge 479773097 479773096 479773096-AddedOffRampEdge 11531386 416220210#0,517256137,416220210#0
11,taz_0,taz_62,509747331 687721986 509747324-AddedOnRampEdge 509747324 867204830-AddedOnRampEdge 867204830 867204830-AddedOffRampEdge 867204829 509747295 509747288 479773097-AddedOnRampEdge 479773097 479773096 479773096-AddedOffRampEdge 11531386 416220210#0,509747331,416220210#0
12,taz_61,taz_63,517294012 8925983 509747283 479773097-AddedOnRampEdge 479773097 479773096 479773096-AddedOffRampEdge 8954447 617259144-AddedOnRampEdge 617259144 479773094 479773095 479773095-AddedOffRampEdge 417524818 394170678 394170681#0,517294012,394170681#0
13,taz_61,taz_64,517294012 8925983 509747283 479773097-AddedOnRampEdge 479773097 479773096 479773096-AddedOffRampEdge 8954447 617259144-AddedOnRampEdge 617259144 479773094 479773095 479773095-AddedOffRampEdge 708314651 617259148-AddedOnRampEdge 617259148 395318356 394165856 8927801#0,517294012,8927801#0
14,taz_61,taz_1,517294012 8925983 509747283 479773097-AddedOnRampEdge 479773097 479773096 479773096-AddedOffRampEdge 8954447 617259144-AddedOnRampEdge 617259144 479773094 479773095 479773095-AddedOffRampEdge 708314651 617259148-AddedOnRampEdge 617259148 395318356 861059531 509747233-AddedOnRampEdge 509747233,517294012,509747233
15,taz_60,taz_63,517256137 8927265 509747343 867204830-AddedOnRampEdge 867204830 867204830-AddedOffRampEdge 867204829 509747295 509747288 479773097-AddedOnRampEdge 479773097 479773096 479773096-AddedOffRampEdge 8954447 617259144-AddedOnRampEdge 617259144 479773094 479773095 479773095-AddedOffRampEdge 417524818 394170678 394170681#0,517256137,394170681#0
16,taz_0,taz_63,509747331 687721986 509747324-AddedOnRampEdge 509747324 867204830-AddedOnRampEdge 867204830 867204830-AddedOffRampEdge 867204829 509747295 509747288 479773097-AddedOnRampEdge 479773097 479773096 479773096-AddedOffRampEdge 8954447 617259144-AddedOnRampEdge 617259144 479773094 479773095 479773095-AddedOffRampEdge 417524818 394170678 394170681#0,509747331,394170681#0
17,taz_60,taz_64,517256137 8927265 509747343 867204830-AddedOnRampEdge 867204830 867204830-AddedOffRampEdge 867204829 509747295 509747288 479773097-AddedOnRampEdge 479773097 479773096 479773096-AddedOffRampEdge 8954447 617259144-AddedOnRampEdge 617259144 479773094 479773095 479773095-AddedOffRampEdge 708314651 617259148-AddedOnRampEdge 617259148 395318356 394165856 8927801#0,517256137,8927801#0
18,taz_60,taz_1,517256137 8927265 509747343 867204830-AddedOnRampEdge 867204830 867204830-AddedOffRampEdge 867204829 509747295 509747288 479773097-AddedOnRampEdge 479773097 479773096 479773096-AddedOffRampEdge 8954447 617259144-AddedOnRampEdge 617259144 479773094 479773095 479773095-AddedOffRampEdge 708314651 617259148-AddedOnRampEdge 617259148 395318356 861059531 509747233-AddedOnRampEdge 509747233,517256137,509747233
19,taz_0,taz_64,509747331 687721986 509747324-AddedOnRampEdge 509747324 867204830-AddedOnRampEdge 867204830 867204830-AddedOffRampEdge 867204829 509747295 509747288 479773097-AddedOnRampEdge 479773097 479773096 479773096-AddedOffRampEdge 8954447 617259144-AddedOnRampEdge 617259144 479773094 479773095 479773095-AddedOffRampEdge 708314651 617259148-AddedOnRampEdge 617259148 395318356 394165856 8927801#0,509747331,8927801#0
20,taz_0,taz_1,509747331 687721986 509747324-AddedOnRampEdge 509747324 867204830-AddedOnRampEdge 867204830 867204830-AddedOffRampEdge 867204829 509747295 509747288 479773097-AddedOnRampEdge 479773097 479773096 479773096-AddedOffRampEdge 8954447 617259144-AddedOnRampEdge 617259144 479773094 479773095 479773095-AddedOffRampEdge 708314651 617259148-AddedOnRampEdge 617259148 395318356 861059531 509747233-AddedOnRampEdge 509747233,509747331,509747233
