,fromTaz,toTaz,route_idx,ratio,route_edges,start_edge,last_edge
0,taz_0,taz_1,0,1.0,508479370#1 508479370#1-AddedOffRampEdge 851556423 851556423-AddedOffRampEdge 851556422 544296215#0 544296215#1-AddedOnRampEdge 544296215#1 544296215#1-AddedOffRampEdge 417527934 114660785 114650797 619042921-AddedOnRampEdge 619042921 619042922 619042923,508479370#1,619042923
1,taz_0,taz_19,0,0.625,508479370#1 508479370#1-AddedOffRampEdge 417527489 395974921 396158856 724603154#0 724603154#1,508479370#1,724603154#1
2,taz_0,taz_19,1,0.375,508479370#1 508479370#1-AddedOffRampEdge 417527489 395974921 396158856 724603155#0,508479370#1,724603155#0
3,taz_0,taz_2,0,1.0,508479370#1 508479370#1-AddedOffRampEdge 851556423 851556423-AddedOffRampEdge 851556422 544296215#0 544296215#1-AddedOnRampEdge 544296215#1 544296215#1-AddedOffRampEdge 508137802 508137802-AddedOffRampEdge 849833093 619042912 619042916 498017747,508479370#1,498017747
4,taz_0,taz_20,0,1.0,508479370#1 508479370#1-AddedOffRampEdge 851556423 851556423-AddedOffRampEdge 158245408 395452529 158245422 394409924#0,508479370#1,394409924#0
5,taz_0,taz_3,0,0.5484,508479370#1 508479370#1-AddedOffRampEdge 851556423 851556423-AddedOffRampEdge 851556422 544296215#0 544296215#1-AddedOnRampEdge 544296215#1 544296215#1-AddedOffRampEdge 417527934 371277198 31559304 544299026-AddedOnRampEdge 544299026 508115788-AddedOnRampEdge 508115788 23955360,508479370#1,23955360
6,taz_0,taz_3,1,0.4516,508479370#1 508479370#1-AddedOffRampEdge 851556423 851556423-AddedOffRampEdge 851556422 544296215#0 544296215#1-AddedOnRampEdge 544296215#1 544296215#1-AddedOffRampEdge 417527934 371277198 31559304 544299026-AddedOnRampEdge 544299026 508115788-AddedOnRampEdge 508115788 508115768,508479370#1,508115768
7,taz_0,taz_31,0,0.6207,508479370#1 508479370#1-AddedOffRampEdge 851556423 851556423-AddedOffRampEdge 851556422 544296215#0 544296215#1-AddedOnRampEdge 544296215#1 544296215#1-AddedOffRampEdge 508137802 508137802-AddedOffRampEdge 417527974 158966994#0,508479370#1,158966994#0
8,taz_0,taz_31,1,0.3793,508479370#1 508479370#1-AddedOffRampEdge 851556423 851556423-AddedOffRampEdge 851556422 544296215#0 544296215#1-AddedOnRampEdge 544296215#1 544296215#1-AddedOffRampEdge 508137802 508137802-AddedOffRampEdge 417527974 395431855 395431857#0 395431857#1 93264664#0,508479370#1,93264664#0
9,taz_1,taz_0,0,1.0,544296217 508115814 508115814-AddedOffRampEdge 508115808 544296216 544296216-AddedOffRampEdge 157805328 393884250#0 393884250#1 619042919-AddedOnRampEdge 619042919 619042924 619042925 619042925-AddedOffRampEdge 851554086 544296218#0 544296218#1-AddedOnRampEdge 544296218#1 544296218#2-AddedOnRampEdge 544296218#2 157607513#0,544296217,157607513#0
10,taz_1,taz_19,0,1.0,544296217 508115814 508115814-AddedOffRampEdge 508115808 544296216 544296216-AddedOffRampEdge 157805328 393884250#0 393884250#1 619042919-AddedOnRampEdge 619042919 619042924 619042925 619042925-AddedOffRampEdge 851554086 158245406 508115828 5001947 395974918#0,544296217,395974918#0
11,taz_1,taz_2,0,1.0,544296217 508115814 508115814-AddedOffRampEdge 508115808 114650795 508115805 416161449 31559309 498017747,544296217,498017747
12,taz_1,taz_20,0,1.0,544296217 508115814 508115814-AddedOffRampEdge 508115808 544296216 544296216-AddedOffRampEdge 157805328 393884250#0 393884250#1 619042919-AddedOnRampEdge 619042919 619042924 619042925 619042925-AddedOffRampEdge 8926408 394411058,544296217,394411058
13,taz_1,taz_21,0,1.0,544296217 508115814 508115814-AddedOffRampEdge 508115808 544296216 544296216-AddedOffRampEdge 752127424 752127424-AddedOffRampEdge 157805329 393883332#0,544296217,393883332#0
14,taz_1,taz_3,0,0.5085,544296217 508115814 508115814-AddedOffRampEdge 508115808 544296216 544296216-AddedOffRampEdge 752127424 752127424-AddedOffRampEdge 851550873 544299026-AddedOnRampEdge 544299026 508115788-AddedOnRampEdge 508115788 508115768,544296217,508115768
15,taz_1,taz_3,1,0.4915,544296217 508115814 508115814-AddedOffRampEdge 508115808 544296216 544296216-AddedOffRampEdge 752127424 752127424-AddedOffRampEdge 851550873 544299026-AddedOnRampEdge 544299026 508115788-AddedOnRampEdge 508115788 23955360,544296217,23955360
16,taz_1,taz_85,0,1.0,544296217 508115814 508115814-AddedOffRampEdge 393884249 157805334#0,544296217,157805334#0
17,taz_19,taz_0,0,1.0,395974920#1 395974919 544296218#2-AddedOnRampEdge 544296218#2 157607513#0,395974920#1,157607513#0
