,fromTaz,toTaz,route_idx,ratio,route_edges,start_edge,last_edge
0,taz_0,taz_1,0,1.0,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 157607691 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 28414204#0 28414204#1 508479346-AddedOffRampEdge 851555734 28464126#0 28464126#1-AddedOnRampEdge 28464126#1 552603209,509747233,552603209
1,taz_0,taz_16,0,1.0,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 157607691 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 28414204#0 28414204#1 508479346-AddedOffRampEdge 394159695 394159694 157782429#0,509747233,157782429#0
2,taz_0,taz_17,0,1.0,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 157607691 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 157607710 394116561,509747233,394116561
3,taz_0,taz_18,0,1.0,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 508479365#0 508479365#1-AddedOnRampEdge 508479365#1 417527401 394126786#0,509747233,394126786#0
4,taz_0,taz_2,0,1.0,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 508479365#0 508479365#1-AddedOnRampEdge 508479365#1 508479370#0 508479370#1-AddedOnRampEdge 508479370#1,509747233,508479370#1
5,taz_0,taz_3,0,1.0,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 417527262 30832610 172165117 508479329-AddedOnRampEdge 508479329 508479332#0 508479332#1-AddedOnRampEdge 508479332#1 157607611 157607611-AddedOffRampEdge 395439805 363648766#1-AddedOnRampEdge 363648766#1 395439800,509747233,395439800
6,taz_0,taz_4,0,1.0,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 417526194 395368020 157607604-AddedOnRampEdge 157607604 123555227 30959006 30959001 416130129#1 416130128 28415043 850378488 8947524#1 28357293,509747233,28357293
7,taz_0,taz_65,0,0.3725,509747233 509747233-AddedOffRampEdge 417525775,509747233,417525775
8,taz_0,taz_65,1,0.3333,509747233 509747233-AddedOffRampEdge 851561436 509721009 417525819,509747233,417525819
9,taz_0,taz_65,2,0.2941,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 417526194 395368020 157607604-AddedOnRampEdge 157607604 123555227 30959006 23895318 394137972 30957455 525720404 15371862#1 503520926 503520922 687721973 157607744 157607744-AddedOffRampEdge 184867444 28414573 283638411 283637999,509747233,283637999
