,fromTaz,toTaz,route_edges,start_edge,last_edge
0,taz_0,taz_1,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 157607691 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 28414204#0 28414204#1 508479346-AddedOffRampEdge 851555734 28464126#0 28464126#1-AddedOnRampEdge 28464126#1 552603209,509747233,552603209
1,taz_0,taz_16,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 157607691 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 28414204#0 28414204#1 508479346-AddedOffRampEdge 394159695 394159694 157782429#0,509747233,157782429#0
2,taz_0,taz_17,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 157607691 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 157607710 394116561,509747233,394116561
3,taz_0,taz_18,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 508479365#0 508479365#1-AddedOnRampEdge 508479365#1 417527401 394126786#0,509747233,394126786#0
4,taz_0,taz_2,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 508479365#0 508479365#1-AddedOnRampEdge 508479365#1 508479370#0 508479370#1-AddedOnRampEdge 508479370#1,509747233,508479370#1
5,taz_0,taz_3,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 417527262 30832610 172165117 508479329-AddedOnRampEdge 508479329 508479332#0 508479332#1-AddedOnRampEdge 508479332#1 157607611 157607611-AddedOffRampEdge 395439805 363648766#1-AddedOnRampEdge 363648766#1 395439800,509747233,395439800
6,taz_0,taz_4,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 417526194 395368020 157607604-AddedOnRampEdge 157607604 123555227 30959006 30959001 416130129#1 416130128 28415043 850378488 8947524#1 28357293,509747233,28357293
7,taz_0,taz_65,509747233 509747233-AddedOffRampEdge 417525775,509747233,417525775
8,taz_0,taz_66,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 417526194 395368020 157607604-AddedOnRampEdge 157607604 123555227 30959006 23895318 394137972 30957455 525720404 15371862#1 503520926 503520922 687721973 157607718 124952189 395368018,509747233,395368018
9,taz_0,taz_67,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 8926075 394161875,509747233,394161875
10,taz_0,taz_68,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 157607691 123867444 8925209 508479350 508479355 417513208,509747233,417513208
11,taz_0,taz_69,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 417526194 395368020 157607604-AddedOnRampEdge 157607604 123555227 30959006 23895318 394137972 31022955,509747233,31022955
12,taz_0,taz_70,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 417527262 30832610 157751113 394139592#0,509747233,394139592#0
