,fromTaz,toTaz,route_edges,start_edge,last_edge
0,taz_0,taz_1,685973438 850030099-AddedOnRampEdge 8924695 348360470 348360464#0,685973438,348360464#0
1,taz_0,taz_10,685973438 850030099-AddedOnRampEdge 515733343 509747390 509747390-AddedOffRampEdge 509747381 867250035 617259178 706447588-AddedOnRampEdge 706447588 706447588-AddedOffRampEdge 867247243 867245647-AddedOnRampEdge 867245647 867245647-AddedOffRampEdge 185252028 550284597 550284597-AddedOffRampEdge 311448458 25280518#1 550284599-AddedOffRampEdge 550284598 550284598-AddedOffRampEdge 617259170 123592886-AddedOnRampEdge 123592886 60759291 479773099 479773098 550284604 23011290#1-AddedOnRampEdge 23011290#1 23011290#1-AddedOffRampEdge 5039649 393501199 393501925#0,685973438,393501925#0
2,taz_0,taz_100,685973438 850030099-AddedOnRampEdge 515733343 509747390 509747390-AddedOffRampEdge 509747381 867250035 617259178 706447588-AddedOnRampEdge 706447588 706447588-AddedOffRampEdge 867247243 867245647-AddedOnRampEdge 867245647 867245647-AddedOffRampEdge 509747348 509747331 687721986 509747324-AddedOnRampEdge 509747324 867204830-AddedOnRampEdge 867204830 867204830-AddedOffRampEdge 867204829 509747295 509747288 479773097-AddedOnRampEdge 479773097 479773096 479773096-AddedOffRampEdge 8954447 617259144-AddedOnRampEdge 617259144 479773094 479773095 479773095-AddedOffRampEdge 708314651 617259148-AddedOnRampEdge 617259148 395318356 861059531 509747233-AddedOnRampEdge 509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 417527262 30832610 172165117 508479329-AddedOnRampEdge 508479329 508479332#0 508479332#1-AddedOnRampEdge 508479332#1 157607611 157607611-AddedOffRampEdge 395439805 363648766#1-AddedOnRampEdge 363648766#1 395439800 157593042 395439803 686995600 686995599 395437192 28435496 28435495#1-AddedOnRampEdge 28435495#1 28435495#1-AddedOffRampEdge 28435573 28435573-AddedOffRampEdge 25657038 25657079 23798287-AddedOnRampEdge 23798287 861058478 5031893 28435621 854215625 848876834 617284141 850098171-AddedOnRampEdge 850098171 850098171-AddedOffRampEdge 850098170 158623065-AddedOnRampEdge 158623065 850057341 850057341-AddedOffRampEdge 850057340#0 850057340#1-AddedOnRampEdge 850057340#1 850057340#1-AddedOffRampEdge 9846701#0 9846701#1 25029732#1 25029732#2-AddedOnRampEdge 25029732#2 334904728 334904727 848743564-AddedOnRampEdge 848743564 848743564-AddedOffRampEdge 848743565 848745539#0 8927682 550284587 185333035#0 185333035#1-AddedOnRampEdge 185333035#1 185333035#1-AddedOffRampEdge 18543222 394446217 394378208 517229122,685973438,517229122
3,taz_0,taz_101,685973438 850030099-AddedOnRampEdge 515733343 509747390 509747390-AddedOffRampEdge 509747381 867250035 617259178 706447588-AddedOnRampEdge 706447588 706447588-AddedOffRampEdge 867247243 867245647-AddedOnRampEdge 867245647 867245647-AddedOffRampEdge 509747348 509747331 687721986 509747324-AddedOnRampEdge 509747324 867204830-AddedOnRampEdge 867204830 867204830-AddedOffRampEdge 867204829 509747295 509747288 479773097-AddedOnRampEdge 479773097 479773096 479773096-AddedOffRampEdge 8954447 617259144-AddedOnRampEdge 617259144 479773094 479773095 479773095-AddedOffRampEdge 708314651 617259148-AddedOnRampEdge 617259148 395318356 861059531 509747233-AddedOnRampEdge 509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 417526194 395368020 157607604-AddedOnRampEdge 157607604 123555227 30959006 23895318 394137972 30957455 525720404 15371862#1 503520926 503520922 687721973 157607744 157607744-AddedOffRampEdge 851559586 124952183 28414589-AddedOnRampEdge 28414589 360948375 509721010#0-AddedOnRampEdge 509721010#0 509721010#1-AddedOnRampEdge 509721010#1 509721010#1-AddedOffRampEdge 509747240 395310468 395354964#0 395354964#1-AddedOnRampEdge 395354964#1 395354964#2-AddedOnRampEdge 395354964#2 479773091 479773091-AddedOffRampEdge 479773092#0 479773092#1-AddedOnRampEdge 479773092#1 395354963 28485321 509747302 509747310-AddedOnRampEdge 509747310 867208766 23722215-AddedOnRampEdge 23722215 23722215-AddedOffRampEdge 9545875 5011984-AddedOnRampEdge 5011984 5011984-AddedOffRampEdge 32590684 394380185 394446220 185252032,685973438,185252032
4,taz_0,taz_11,685973438 850030099-AddedOnRampEdge 515733343 509747390 509747390-AddedOffRampEdge 509747381 867250035 617259178 706447588-AddedOnRampEdge 706447588 706447588-AddedOffRampEdge 867247243 867245647-AddedOnRampEdge 867245647 867245647-AddedOffRampEdge 185252028 550284597 550284597-AddedOffRampEdge 311448458 25280518#1 550284599-AddedOffRampEdge 550284598 550284598-AddedOffRampEdge 617259170 123592886-AddedOnRampEdge 123592886 60759291 479773099 479773098 550284604 23011290#1-AddedOnRampEdge 23011290#1 23011290#1-AddedOffRampEdge 550271868 550284607-AddedOnRampEdge 550284607 550284607-AddedOffRampEdge 5019868 393495076 26297400,685973438,26297400
5,taz_0,taz_12,685973438 850030099-AddedOnRampEdge 515733343 509747390 509747390-AddedOffRampEdge 509747381 867250035 617259178 706447588-AddedOnRampEdge 706447588 706447588-AddedOffRampEdge 867247243 867245647-AddedOnRampEdge 867245647 867245647-AddedOffRampEdge 509747348 509747331 687721986 509747324-AddedOnRampEdge 509747324 867204830-AddedOnRampEdge 867204830 867204830-AddedOffRampEdge 867204829 509747295 509747288 479773097-AddedOnRampEdge 479773097 479773096 479773096-AddedOffRampEdge 8954447 617259144-AddedOnRampEdge 617259144 479773094 479773095 479773095-AddedOffRampEdge 708314651 617259148-AddedOnRampEdge 617259148 395318356 861059531 509747233-AddedOnRampEdge 509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 157607691 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 28414204#0 28414204#1 508479346-AddedOffRampEdge 851555734 28464126#0 28464126#1-AddedOnRampEdge 28464126#1 552603209 711834658 867249040 550284581 550284584 550284584-AddedOffRampEdge 157782435 361969113,685973438,361969113
6,taz_0,taz_13,685973438 850030099-AddedOnRampEdge 515733343 509747390 509747390-AddedOffRampEdge 509747381 867250035 617259178 706447588-AddedOnRampEdge 706447588 706447588-AddedOffRampEdge 867247243 867245647-AddedOnRampEdge 867245647 867245647-AddedOffRampEdge 185252028 550284597 550284597-AddedOffRampEdge 311448458 25280518#1 550284599-AddedOffRampEdge 550284598 550284598-AddedOffRampEdge 617259170 123592886-AddedOnRampEdge 123592886 60759291 479773099 479773098 550284604 23011290#1-AddedOnRampEdge 23011290#1 23011290#1-AddedOffRampEdge 550271868 550284607-AddedOnRampEdge 550284607 550284607-AddedOffRampEdge 125343990 125343990-AddedOffRampEdge 156651882 248390175 124952178 863751890 617259155,685973438,617259155
7,taz_0,taz_14,685973438 850030099-AddedOnRampEdge 515733343 509747390 509747390-AddedOffRampEdge 509747381 867250035 617259178 706447588-AddedOnRampEdge 706447588 706447588-AddedOffRampEdge 867247243 867245647-AddedOnRampEdge 867245647 867245647-AddedOffRampEdge 509747348 509747331 687721986 509747324-AddedOnRampEdge 509747324 867204830-AddedOnRampEdge 867204830 867204830-AddedOffRampEdge 867204829 509747295 509747288 479773097-AddedOnRampEdge 479773097 479773096 479773096-AddedOffRampEdge 8954447 617259144-AddedOnRampEdge 617259144 479773094 479773095 479773095-AddedOffRampEdge 708314651 617259148-AddedOnRampEdge 617259148 395318356 861059531 509747233-AddedOnRampEdge 509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 157607691 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 28414204#0 28414204#1 508479346-AddedOffRampEdge 851555734 28464126#0 28464126#1-AddedOnRampEdge 28464126#1 552603209 711834658 867249040 22942558 393498318#0,685973438,393498318#0
8,taz_0,taz_15,685973438 850030099-AddedOnRampEdge 515733343 509747390 509747390-AddedOffRampEdge 509747381 867250035 617259178 706447588-AddedOnRampEdge 706447588 706447588-AddedOffRampEdge 867247243 867245647-AddedOnRampEdge 867245647 867245647-AddedOffRampEdge 185252028 550284597 550284597-AddedOffRampEdge 311448458 25280518#1 550284599-AddedOffRampEdge 550284598 550284598-AddedOffRampEdge 617259170 123592886-AddedOnRampEdge 123592886 60759291 479773099 479773098 550284604 23011290#1-AddedOnRampEdge 23011290#1 23011290#1-AddedOffRampEdge 550271868 550284607-AddedOnRampEdge 550284607 550284607-AddedOffRampEdge 125343990 125343990-AddedOffRampEdge 156651882 156651868 28379635#1 123867446#1-AddedOnRampEdge 123867446#1 711834657-AddedOnRampEdge 711834657 157782133 394214261 157782457,685973438,157782457
9,taz_0,taz_16,685973438 850030099-AddedOnRampEdge 515733343 509747390 509747390-AddedOffRampEdge 509747381 867250035 617259178 706447588-AddedOnRampEdge 706447588 706447588-AddedOffRampEdge 867247243 867245647-AddedOnRampEdge 867245647 867245647-AddedOffRampEdge 185252028 550284597 550284597-AddedOffRampEdge 311448458 25280518#1 550284599-AddedOffRampEdge 550284598 550284598-AddedOffRampEdge 617259170 123592886-AddedOnRampEdge 123592886 60759291 479773099 479773098 550284604 23011290#1-AddedOnRampEdge 23011290#1 23011290#1-AddedOffRampEdge 550271868 550284607-AddedOnRampEdge 550284607 550284607-AddedOffRampEdge 125343990 125343990-AddedOffRampEdge 156651882 156651868 28379635#1 123867446#1-AddedOnRampEdge 123867446#1 711834657-AddedOnRampEdge 711834657 157782133 552603210 301865760-AddedOnRampEdge 301865760 301865760-AddedOffRampEdge 8923775,685973438,8923775
10,taz_0,taz_17,685973438 850030099-AddedOnRampEdge 515733343 509747390 509747390-AddedOffRampEdge 509747381 867250035 617259178 706447588-AddedOnRampEdge 706447588 706447588-AddedOffRampEdge 867247243 867245647-AddedOnRampEdge 867245647 867245647-AddedOffRampEdge 185252028 550284597 550284597-AddedOffRampEdge 311448458 25280518#1 550284599-AddedOffRampEdge 550284598 550284598-AddedOffRampEdge 617259170 123592886-AddedOnRampEdge 123592886 60759291 479773099 479773098 550284604 23011290#1-AddedOnRampEdge 23011290#1 23011290#1-AddedOffRampEdge 550271868 550284607-AddedOnRampEdge 550284607 550284607-AddedOffRampEdge 125343990 125343990-AddedOffRampEdge 156651882 156651868 28379635#1 123867446#1-AddedOnRampEdge 123867446#1 711834657-AddedOnRampEdge 711834657 157782133 552603210 301865760-AddedOnRampEdge 301865760 301865760-AddedOffRampEdge 301865758 28464124 851553865-AddedOnRampEdge 851553865 851553865-AddedOffRampEdge 394118249 157607756 28414221,685973438,28414221
11,taz_0,taz_18,685973438 850030099-AddedOnRampEdge 515733343 509747390 509747390-AddedOffRampEdge 509747381 867250035 617259178 706447588-AddedOnRampEdge 706447588 706447588-AddedOffRampEdge 867247243 867245647-AddedOnRampEdge 867245647 867245647-AddedOffRampEdge 509747348 509747331 687721986 509747324-AddedOnRampEdge 509747324 867204830-AddedOnRampEdge 867204830 867204830-AddedOffRampEdge 867204829 509747295 509747288 479773097-AddedOnRampEdge 479773097 479773096 479773096-AddedOffRampEdge 8954447 617259144-AddedOnRampEdge 617259144 479773094 479773095 479773095-AddedOffRampEdge 708314651 617259148-AddedOnRampEdge 617259148 395318356 861059531 509747233-AddedOnRampEdge 509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 508479365#0 508479365#1-AddedOnRampEdge 508479365#1 417527401 394126786#0,685973438,394126786#0
12,taz_0,taz_19,685973438 850030099-AddedOnRampEdge 515733343 509747390 509747390-AddedOffRampEdge 509747381 867250035 617259178 706447588-AddedOnRampEdge 706447588 706447588-AddedOffRampEdge 867247243 867245647-AddedOnRampEdge 867245647 867245647-AddedOffRampEdge 509747348 509747331 687721986 509747324-AddedOnRampEdge 509747324 867204830-AddedOnRampEdge 867204830 867204830-AddedOffRampEdge 867204829 509747295 509747288 479773097-AddedOnRampEdge 479773097 479773096 479773096-AddedOffRampEdge 8954447 617259144-AddedOnRampEdge 617259144 479773094 479773095 479773095-AddedOffRampEdge 708314651 617259148-AddedOnRampEdge 617259148 395318356 861059531 509747233-AddedOnRampEdge 509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 508479365#0 508479365#1-AddedOnRampEdge 508479365#1 508479370#0 508479370#1-AddedOnRampEdge 508479370#1 508479370#1-AddedOffRampEdge 417527489 395974921 396158856 724603155#0,685973438,724603155#0
13,taz_0,taz_2,685973438 850030099-AddedOnRampEdge 515733343 509747390 509747390-AddedOffRampEdge 509747381 867250035 394385424#0,685973438,394385424#0
