link_id,interval_nVehContrib,interval_harmonicMeanSpeed
11479094,1936.0,66.35
119271213,2841.0,63.925
119271337,2837.0,63.9667
119271346,4931.0,62.05
119271357,2334.0,66.1417
123555214,854.0,66.9875
123555228,4398.0,59.4792
123555236,2837.0,63.9667
123592887#0,1920.0,63.1
123592887#1-AddedOffRampEdge,3701.0,56.9
123592924#1,2583.0,59.5833
123867439#1-AddedOnRampEdge,6094.0,62.2167
123867446#1,4877.0,58.8417
123867452,4053.0,61.8708
123867453#0,2914.0,67.7333
123867454,4341.0,50.2167
124952143-AddedOnRampEdge,3955.0,60.0
124952169,3912.0,63.6139
155667053,2745.0,57.775
156778691,1680.0,60.5042
157593042,3918.0,61.0917
157607510,4756.0,60.4667
157607513#1,5528.0,47.9417
157607517,3104.0,66.3833
157607604-AddedOnRampEdge,2837.0,63.9667
157782133,5645.0,56.8833
157782136#0,4353.0,62.0417
157782136#1-AddedOnRampEdge,4149.0,64.4833
157806285,5617.0,63.3667
158623068#0,2322.0,67.6917
158623068#1,3719.0,64.5667
172165117,4209.0,54.2583
184867222#0,2669.0,65.15
184867243,2837.0,63.9667
22372547,3254.0,59.1417
22372559,3175.0,60.9333
23798287,7423.0,53.5042
23798288#1,6060.0,62.85
23807074,2389.0,69.6833
23807652#1,4237.0,59.3417
23807653#1,4712.0,68.7583
23820853#1,3157.0,61.425
23955194#0,3434.0,65.8333
23955194#1,2902.0,64.5833
23955194#2,2888.0,65.825
24167679#1,5131.0,57.125
25029732#2,3911.0,57.775
25657136,3089.0,63.95
26230999#1,3733.0,54.1667
27829301#1,5313.0,62.9542
27829315#1,7355.0,64.4833
27829315#1-AddedOnRampEdge,5982.0,61.1167
28317586#1,2853.0,58.2417
28317747,2387.0,65.6111
28317945,4041.0,63.2667
28319413#2,2412.0,64.6667
28319423#0,2893.0,62.2875
28319423#1-AddedOffRampEdge,3916.0,62.4417
28319423#2,2508.0,64.9833
28319616,2432.0,65.8917
28319618#1,3575.0,74.475
28357386,0.0,64.1
28357402,3299.0,64.4667
28357482,1646.0,66.65
28357727#0,3687.0,59.3458
28357727#0-AddedOffRampEdge,3185.0,58.1333
28357727#1,3741.0,68.6917
28358874#1,8524.0,57.7333
28358875#1,5205.0,60.1167
28358961,6841.0,56.8917
28359025-AddedOnRampEdge,4848.0,64.4917
28359059#1,7090.0,58.125
28378884#0,6122.0,59.9583
28378888#1-AddedOnRampEdge,5363.0,60.15
28379295,2625.0,60.6333
28379297,3010.0,54.6583
28396115#1,3783.0,62.775
28413844,6628.0,56.075
28414195,3460.0,58.6583
28414204#0,4829.0,53.675
28414349#1,4488.0,62.2667
28433582,5053.0,44.5583
28433597,2718.0,62.5833
28433664#1,2698.0,64.475
28433666#1,4193.0,32.2833
28433994#1,3006.0,61.6042
28434077,3006.0,58.3333
28435047,3033.0,64.275
28435048,2858.0,64.0917
28435496,3896.0,60.1292
28435573,3957.0,60.5667
28437104,2460.0,60.1917
28437190#1,3964.0,66.9417
28437207,2290.0,64.8667
28464124,3940.0,60.15
28464126#1,4826.0,57.675
28464667,5652.0,62.3083
28464668#1,4539.0,61.0417
28464671-AddedOffRampEdge,4291.0,59.825
28464671-AddedOnRampEdge,3472.0,60.05
28665765,2839.0,63.8333
28665770#0,2841.0,63.925
301865758,3718.0,55.5083
301865760,3906.0,59.4042
30583337,2839.0,63.8333
30959001,1924.0,64.7542
30959012,3516.0,39.4792
326409095#1,3055.0,59.3917
33104348#0,4791.0,60.6
334904727,3961.0,60.9
360948375,4385.0,48.175
363634378,5219.0,61.2333
363648766#1-AddedOnRampEdge,3946.0,57.6667
366053237,5061.0,63.6833
367132265,2184.0,65.3125
394385111,4967.0,54.3333
394385113,4792.0,58.6917
394385114#1,3060.0,63.5333
394449801#0,3965.0,59.8083
394449801#1,4911.0,55.5917
394449803,5956.0,50.2667
395336979,2841.0,63.925
395336990,2841.0,63.925
395337004,4790.0,60.6667
395343261,2914.0,61.4167
395343763,1662.0,67.075
395354964#0,5792.0,57.8083
395354964#1,5835.0,57.8917
395354964#2,5685.0,56.325
395362577,2786.0,52.15
395368981#0,5215.0,65.0083
395368986,4734.0,71.4917
395394468,4324.0,60.0694
395394473,5880.0,53.3833
395394478,6555.0,49.7875
395439802,4523.0,60.175
395439803,4290.0,62.7833
395439805,4156.0,61.2125
42397233,2812.0,62.9833
479773092#0,5091.0,58.675
479773092#1,5953.0,60.0083
479773095,4694.0,58.8333
479773098,4523.0,59.7833
479773099,2963.0,66.0
5018717,3068.0,56.2083
5018720,2660.0,58.4167
508060359,3185.0,59.9167
508060361,2471.0,60.8167
508060362,2837.0,63.9667
508115737#0,5425.0,59.7333
508115737#1,5476.0,62.0
508115737#1-AddedOffRampEdge,4653.0,60.3333
508115745,5024.0,60.3639
508115768,4604.0,63.1667
508115808,6534.0,61.225
508137802,4708.0,57.7083
508479313#0,3428.0,55.0417
508479317,4666.0,62.1667
508479326,4635.0,59.8083
508479332#0,4340.0,49.0167
508479336,4145.0,54.7583
508479355,4494.0,59.3167
508479365#0,4079.0,63.4083
508479370#0,3606.0,60.675
508479370#1,3768.0,62.1833
509721008,3812.0,61.0417
509721010#0-AddedOnRampEdge,6082.0,51.0333
509747240,5344.0,53.0292
509747288,4040.0,63.1833
509747302,5481.0,55.4583
509747310-AddedOnRampEdge,5516.0,57.025
509747324-AddedOnRampEdge,3789.0,62.675
509747346,4919.0,59.7917
509747348,4130.0,64.0
509747381,4315.0,61.7583
509747406-AddedOffRampEdge,7461.0,53.8917
517168464,2332.0,66.8417
52286756#1,6240.0,59.5417
52324493,3814.0,60.075
544296215#0,2711.0,65.3167
544296216-AddedOffRampEdge,4887.0,63.4
544296218#0,4324.0,52.6917
544296218#1-AddedOnRampEdge,4886.0,42.75
544296218#2,6304.0,43.9833
544296221,4640.0,59.7333
550271868,1414.0,65.2375
550284581,4882.0,62.6083
550284584-AddedOffRampEdge,5072.0,64.2833
550284598,3250.0,61.675
550284602,3198.0,60.9167
550284604,2794.0,59.8167
550284605,3931.0,60.7667
552389451,4241.0,61.1167
552389451-AddedOffRampEdge,4217.0,61.125
552603209,6238.0,59.4417
552603210,3887.0,62.2667
56159747,3803.0,61.975
60759806,3665.0,64.8417
617235581,5758.0,41.2333
617235585#0,6882.0,53.95
617235594,4902.0,64.6333
617235603,2629.0,64.1917
617235606,2951.0,63.6625
617235612,3345.0,65.0792
617259138,2907.0,65.2292
617259141,4199.0,63.0
617259144-AddedOnRampEdge,4366.0,65.25
617259148-AddedOnRampEdge,4115.0,62.975
617259170,3493.0,48.4583
617259178,4556.0,64.45
617284141,5405.0,57.8417
617284143,2862.0,67.2333
617284144#0,2334.0,66.325
617284144#1,2544.0,64.7
617284145#0-AddedOnRampEdge,2876.0,64.9667
617284164,5355.0,62.3083
617284166,5275.0,61.6583
617284173,5184.0,63.225
617335302,5542.0,50.0083
619042896-AddedOffRampEdge,4402.0,59.6083
619042916,5272.0,63.3
619042919,2895.0,62.0667
619042921,6887.0,58.8042
619042924,4649.0,50.825
685973438,4532.0,58.0667
687721970,3950.0,60.3
687721973,3530.0,67.9083
687721986,3659.0,63.1917
699542380#1,2667.0,63.8167
708314651,7403.0,53.9667
711834658,4544.0,55.3444
727202049,4791.0,60.6
768291603,5823.0,62.1167
838046085,4033.0,63.45
848429238,4487.0,63.9958
848467540#0,3721.0,56.3792
848467541,2581.0,61.3167
848488831,4358.0,63.075
848489711,2092.0,66.675
848489712,2701.0,62.9583
848501101#0,2555.0,68.4917
848743564,4652.0,55.4472
848743565,4329.0,57.1333
848745539#0,4862.0,43.7167
848745539#1,3160.0,59.5333
848748038,2967.0,58.9333
848748039,3591.0,59.8708
848748039-AddedOffRampEdge,3396.0,60.175
848751591,3010.0,59.1417
848754158,2084.0,63.1
848767838,2751.0,64.0417
848809833,4542.0,64.6917
848809834,5091.0,63.175
848818561,5088.0,61.6833
848875024#0,4889.0,63.2417
848880058,2920.0,64.55
848920992#0,3305.0,61.0208
849677308#0,4556.0,57.1083
849677308#1,4637.0,57.2
849696784,3923.0,63.1083
849806971#0,2928.0,54.7917
849818316,2292.0,61.6083
849821064,1597.0,66.8458
849833093,4889.0,63.2417
850026981,3530.0,68.3417
850032296,5406.0,56.3917
850057340#0,4505.0,58.675
850097346,3549.0,61.7583
850098170,5171.0,63.7083
850134421,2287.0,64.2833
850376107,3910.0,64.9583
850378488,1909.0,66.775
850395062,4801.0,59.6583
850615423,3691.0,60.9083
850616213,5913.0,57.9292
850746591,2788.0,67.8583
850760258,2841.0,63.925
851520670,2111.0,69.0
851520671-AddedOffRampEdge,2839.0,63.8333
851541351,2403.0,65.7667
851544880,2571.0,66.8208
851548985#1,2839.0,63.8333
851550873,3894.0,64.5417
851552197,3153.0,61.2556
851553864,4298.0,59.9417
851555734,4934.0,53.375
851556422,3557.0,58.5833
851560451,4681.0,59.7833
851561436,3865.0,64.5083
851568240,5208.0,62.6167
851569274,2504.0,69.0417
854162451,3281.0,64.0167
854215625,5641.0,57.8417
860646752-AddedOffRampEdge,4548.0,62.5917
861059531,4203.0,65.3875
863751890,7276.0,61.5083
863754537,5663.0,59.85
867203204,3018.0,70.7583
867204829,3963.0,62.6167
867204830-AddedOffRampEdge,4120.0,60.9667
867208766,5206.0,56.2417
867246178,5358.0,63.2583
867247243,4404.0,60.9167
867251845#0,2978.0,66.9917
867256162#0,4538.0,46.175
867256162#3,2966.0,61.0708
867256163,4904.0,48.4417
867259033,3594.0,53.3583
867262165#0,2158.0,66.475
867290381,3554.0,58.9458
8954447,3450.0,61.6333
95265016#1,2478.0,65.7917
