link_id,interval_nVehContrib,interval_harmonicMeanSpeed
28413844,5417.0,59.4333
508115745,5020.0,62.7222
508115768,3342.0,65.5333
508115808,3718.0,62.85
508137802,3680.0,55.3
508479370#1,2560.0,61.35
52286756#1,6031.0,63.3
544296215#0,2179.0,69.0167
544296216-AddedOffRampEdge,3107.0,66.9583
544296218#0,4989.0,46.6
544296218#1-AddedOnRampEdge,5379.0,26.3667
544296218#2,6807.0,35.175
619042896-AddedOffRampEdge,4649.0,61.775
619042916,3895.0,65.5333
619042919,2215.0,62.8083
619042921,6432.0,65.6292
619042924,5014.0,44.3167
849833093,3106.0,66.7667
851550873,2651.0,67.1639
851552197,2683.0,62.9556
851556422,2755.0,59.75
